date;wert
2023-07-14 17:51:55;0356.2
2023-07-15 17:52:13;0356.2
2023-07-16 17:52:25;0356.2
2023-07-17 17:52:31;0356.2
2023-07-14 18:03:19;03356.2
2023-07-14 18:05:40;03356.2
2023-07-14 18:06:08;033562
2023-07-14 18:06:17;033562
2023-07-15 13:24:57;033562
2023-07-15 13:55:45;310605
2023-07-15 13:56:30;31060.5
2023-07-15 21:33:54;01221.6
2023-07-17 13:12:55;169202.0
2023-07-17 13:13:22;169202.0
2023-07-17 13:14:21;76920.2
2023-07-18 10:14:27;046304.8
2023-07-18 10:15:57;046304.8
2023-07-18 11:23:01;001289.6
2023-07-18 11:23:32;0012896.4
2023-07-18 11:23:59;00128.964
2023-07-18 11:24:11;00128.964
2023-07-18 11:29:17;054.475
2023-07-18 11:29:39;00544.755
2023-07-18 11:29:46;00544.755
2023-07-18 15:57:57;0463.048
2023-07-18 15:58:51;046304.8
2023-07-18 16:51:23;0012896.4
2023-07-18 16:54:56;00128.964
2023-07-20 11:58:26;00.640
2023-07-28 22:07:26;00.640
2023-07-29 00:11:49;0.900
2023-07-29 01:19:47;00.640
2023-07-29 01:20:03;00.640
2023-07-29 01:20:25;00640
2023-07-29 01:35:20;00544755
2023-07-29 01:35:57;00544.755
2023-07-29 08:58:29;00544.755
2023-07-29 09:01:39;00544.755
2023-08-06 12:43:45;01221.6
2023-08-06 12:44:26;012216
2023-08-06 12:48:21;046304.8
2023-08-06 22:30:58;01221.6
2023-08-06 22:32:10;012216
2023-08-23 13:29:14;0173248
2023-08-24 09:55:47;0173248;0.0
2023-08-28 09:59:43;0173248
2023-08-28 10:00:19;0
2023-08-28 10:01:28;0
